depth,Stmax,Stavg,EndP,MaxP,MaxV,RanV,RtUp,RtDn,TINDVI,Easting_32632,Northing_32632,elev,asp,slo,tri,Al05Fe
0.050000,88.000000,43.800000,21.000000,15.000000,0.800113,0.317128,0.052855,0.052047,2.379636,698936.337224,5117771.079525,1675.000000,235.491470,24.270609,4.000000,0.410215
0.150000,88.000000,43.800000,21.000000,15.000000,0.800113,0.317128,0.052855,0.052047,2.379636,698936.337224,5117771.079525,1675.000000,235.491470,24.270609,4.000000,0.670031
0.275000,88.000000,43.800000,21.000000,15.000000,0.800113,0.317128,0.052855,0.052047,2.379636,698936.337224,5117771.079525,1675.000000,235.491470,24.270609,4.000000,0.612416
0.050000,96.700000,48.400000,19.000000,13.000000,0.928215,0.384427,0.060970,0.064071,2.836485,621952.929091,5161761.230175,1425.000000,24.193207,94.554878,14.000000,0.213929
0.150000,96.700000,48.400000,19.000000,13.000000,0.928215,0.384427,0.060970,0.064071,2.836485,621952.929091,5161761.230175,1425.000000,24.193207,94.554878,14.000000,0.244807
0.300000,96.700000,48.400000,19.000000,13.000000,0.928215,0.384427,0.060970,0.064071,2.836485,621952.929091,5161761.230175,1425.000000,24.193207,94.554878,14.000000,0.206679
0.500000,96.700000,48.400000,19.000000,13.000000,0.928215,0.384427,0.060970,0.064071,2.836485,621952.929091,5161761.230175,1425.000000,24.193207,94.554878,14.000000,0.268793
0.050000,176.800000,114.500000,19.000000,13.000000,0.842854,0.286300,0.040900,0.043224,2.216392,637746.642854,5163644.940803,700.000000,36.253838,11.625672,1.875000,0.240194
0.150000,176.800000,114.500000,19.000000,13.000000,0.842854,0.286300,0.040900,0.043224,2.216392,637746.642854,5163644.940803,700.000000,36.253838,11.625672,1.875000,0.305820
0.300000,176.800000,114.500000,19.000000,13.000000,0.842854,0.286300,0.040900,0.043224,2.216392,637746.642854,5163644.940803,700.000000,36.253838,11.625672,1.875000,0.302931
0.500000,176.800000,114.500000,19.000000,13.000000,0.842854,0.286300,0.040900,0.043224,2.216392,637746.642854,5163644.940803,700.000000,36.253838,11.625672,1.875000,0.170712
0.050000,129.400000,84.100000,19.000000,13.000000,0.990809,0.391655,0.058960,0.065276,2.818219,440514.482259,5099643.307107,1050.000000,321.340210,48.023434,6.875000,0.481194
0.150000,129.400000,84.100000,19.000000,13.000000,0.990809,0.391655,0.058960,0.065276,2.818219,440514.482259,5099643.307107,1050.000000,321.340210,48.023434,6.875000,0.557776
0.300000,129.400000,84.100000,19.000000,13.000000,0.990809,0.391655,0.058960,0.065276,2.818219,440514.482259,5099643.307107,1050.000000,321.340210,48.023434,6.875000,0.694365
